2019-10-10 17:28:02,946 [INFO ]	Run MCL, num clusters = 7
2019-10-10 17:28:02,956 [INFO ]	Phylogeny = OG0000053
2019-10-10 17:28:02,959 [INFO ]	Nodes = 56
2019-10-10 17:28:02,960 [INFO ]	Tree is rooted, pass
2019-10-10 17:28:03,004 [INFO ]	Species overlap score = 0, num speciation events = 333
2019-10-10 17:28:03,020 [INFO ]	Run MCL, num clusters = 5
2019-10-10 17:28:03,030 [INFO ]	Phylogeny = OG0000054
2019-10-10 17:28:03,034 [INFO ]	Nodes = 56
2019-10-10 17:28:03,035 [INFO ]	Tree is rooted, pass
2019-10-10 17:28:03,083 [INFO ]	Species overlap score = 0, num speciation events = 212
2019-10-10 17:28:03,098 [INFO ]	Run MCL, num clusters = 7
2019-10-10 17:28:03,108 [INFO ]	Phylogeny = OG0000055
2019-10-10 17:28:03,111 [INFO ]	Nodes = 55
2019-10-10 17:28:03,112 [INFO ]	Tree is rooted, pass
2019-10-10 17:28:03,157 [INFO ]	Species overlap score = 0, num speciation events = 238
2019-10-10 17:28:03,172 [INFO ]	Run MCL, num clusters = 5
2019-10-10 17:28:03,182 [INFO ]	Phylogeny = OG0000056
2019-10-10 17:28:03,185 [INFO ]	Nodes = 54
2019-10-10 17:28:03,186 [INFO ]	Tree is rooted, pass
2019-10-10 17:28:03,234 [INFO ]	Species overlap score = 0, num speciation events = 125
2019-10-10 17:28:03,248 [INFO ]	Run MCL, num clusters = 8
2019-10-10 17:28:03,259 [INFO ]	Phylogeny = OG0000057
2019-10-10 17:28:03,262 [INFO ]	Nodes = 52
2019-10-10 17:28:03,262 [INFO ]	Tree is rooted, pass
2019-10-10 17:28:03,304 [INFO ]	Species overlap score = 0, num speciation events = 164
2019-10-10 17:28:03,318 [INFO ]	Run MCL, num clusters = 6
2019-10-10 17:28:03,328 [INFO ]	Phylogeny = OG0000058
2019-10-10 17:28:03,331 [INFO ]	Nodes = 52
2019-10-10 17:28:03,332 [INFO ]	Tree is rooted, pass
2019-10-10 17:28:03,374 [INFO ]	Species overlap score = 0, num speciation events = 106
2019-10-10 17:28:03,387 [INFO ]	Run MCL, num clusters = 7
2019-10-10 17:28:03,398 [INFO ]	Phylogeny = OG0000059
2019-10-10 17:28:03,401 [INFO ]	Nodes = 52
2019-10-10 17:28:03,401 [INFO ]	Tree is rooted, pass
2019-10-10 17:28:03,445 [INFO ]	Species overlap score = 0, num speciation events = 278
2019-10-10 17:28:03,460 [INFO ]	Run MCL, num clusters = 17
2019-10-10 17:28:03,470 [INFO ]	Phylogeny = OG0000060
2019-10-10 17:28:03,476 [INFO ]	Nodes = 51
2019-10-10 17:28:03,477 [INFO ]	Tree is rooted, pass
2019-10-10 17:28:03,523 [INFO ]	Species overlap score = 0, num speciation events = 150
2019-10-10 17:28:03,537 [INFO ]	Run MCL, num clusters = 9
2019-10-10 17:28:03,547 [INFO ]	Phylogeny = OG0000061
2019-10-10 17:28:03,552 [INFO ]	Nodes = 51
2019-10-10 17:28:03,553 [INFO ]	Tree is rooted, pass
2019-10-10 17:28:03,598 [INFO ]	Species overlap score = 0, num speciation events = 162
2019-10-10 17:28:03,613 [INFO ]	Run MCL, num clusters = 9
2019-10-10 17:28:03,625 [INFO ]	Phylogeny = OG0000062
2019-10-10 17:28:03,627 [INFO ]	Nodes = 51
2019-10-10 17:28:03,628 [INFO ]	Tree is rooted, pass
2019-10-10 17:28:03,668 [INFO ]	Species overlap score = 0, num speciation events = 55
2019-10-10 17:28:03,681 [INFO ]	Run MCL, num clusters = 12
